CODIGO_DEL_PRODUCTO,VENTA,VENTA_ZONA_101,VENTA_ZONA_102,VENTA_ZONA_103,VENTA_ZONA_104,VENTA_ZONA_107,VENTA_ZONA_109,VENTA_ZONA_110,VENTA_ZONA_111,VENTA_ZONA_112,VENTA_ZONA_115,VENTA_ZONA_116,VENTA_ZONA_119,TALLA,NOMB_SUBGRUPO,CAMPANA,CAMPANA_CAT_Cuarto_trimestre,CAMPANA_CAT_Primer_trimestre,CAMPANA_CAT_Segundo_trimestre,CAMPANA_CAT_Tercer_trimestre,ROPA_CAT_Conjuntos y otros,ROPA_CAT_Ropa_inferior,ROPA_CAT_Ropa_superior,TALLA_CAT_Grande,TALLA_CAT_Mediana,TALLA_CAT_Pequeña
P00845,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00640,51.0,0,0,0,0,0.0,0,32,0,0,0.0,0,0,T-S,206 RE-CAMISAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00667,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-S,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00708,51.0,0,0,0,0,0.0,0,0,0,0,44.0,0,0,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00938,51.0,0,0,0,0,0.0,0,0,0,51,0.0,0,0,T-M,207 RE-CAMISETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00755,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-16,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00713,64.0,0,0,0,0,0.0,0,0,0,0,64.0,0,0,T-M,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00606,64.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-XL,217 RE-JOGGERS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
P00825,64.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-10,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00724,64.0,64,0,0,0,0.0,0,0,0,0,0.0,0,0,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P00772,191.0,0,0,0,0,64.0,0,0,0,0,0.0,0,0,T-10,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00683,191.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-12,220 RE-PANTALONES FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00486,228.0,0,0,0,0,0.0,0,0,0,0,0.0,0,57,T-S,207 RE-CAMISETAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P00515,228.0,0,38,0,0,0.0,0,0,0,0,0.0,0,38,T-8,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00613,254.0,0,64,0,64,0.0,0,0,0,0,0.0,0,0,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00496,254.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-12,216 RE-JEANS FEM,201902,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P00535,304.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-XL,201 RE-BLUSAS FEM,201902,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P00464,304.0,0,51,0,0,0.0,0,0,0,0,0.0,0,25,T-XL,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P00748,304.0,0,51,0,0,0.0,0,0,0,0,0.0,0,0,T-M,225 RE-VESTIDOS FEM,201902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
